# k  E(k)  (isotropic 3D shell-averaged)
0.000000000000000000e+00 2.637411619046494984e-36
1.000000000000000000e+00 7.892815459393759086e-32
2.000000000000000000e+00 1.225196224867958379e-02
3.000000000000000000e+00 3.333657473709666832e-03
4.000000000000000000e+00 1.168918551661677621e-03
5.000000000000000000e+00 1.230755548965197345e-03
6.000000000000000000e+00 4.951087852510682339e-04
7.000000000000000000e+00 7.127438854038637816e-04
8.000000000000000000e+00 3.112013038677357603e-04
9.000000000000000000e+00 5.641079287204393096e-04
1.000000000000000000e+01 5.505022658837880993e-04
1.100000000000000000e+01 2.977302398011829904e-04
1.200000000000000000e+01 2.946632567769991531e-04
1.300000000000000000e+01 2.182602309979742624e-04
1.400000000000000000e+01 1.296575200041408303e-04
1.500000000000000000e+01 2.136894543321082374e-04
1.600000000000000000e+01 2.844752008848485943e-04
1.700000000000000000e+01 8.940912198003705741e-05
1.800000000000000000e+01 5.419848603254893635e-05
1.900000000000000000e+01 4.681075447938904023e-05
2.000000000000000000e+01 1.802809182981198794e-05
2.100000000000000000e+01 1.043510583452726619e-05
2.200000000000000000e+01 5.577835717642244155e-06
2.300000000000000000e+01 2.552389606285029235e-06
2.400000000000000000e+01 1.415979948867283785e-06
2.500000000000000000e+01 3.788327503041690892e-07
2.600000000000000000e+01 3.945664002540721475e-08
2.700000000000000000e+01 5.925655168515682554e-34
2.800000000000000000e+01 4.451651817740205119e-35
